RT [min],Area
4.029,78.2541
5.703,122.4334
8.275,18.5179
11.322,46.8727
12.433,50.1538
15.307,44.7395
17.009,1653.6891
18.603,16.8207
21.345,38.1029
24.679,28.4647
26.454,112.8998
27.945,53.2421
29.592,19.5637
30.648,295.1109
33.101,52.3312
37.478,491.4297
41.421,28.7031
42.49,1138.8884
43.477,894.5782
44.72,131.6362
47.283,719.2756
47.766,831.8302
48.126,597.9954
48.359,418.2614
48.677,792.7874
49.282,69.153
49.455,118.6067
49.764,185.7827
