RT [min],Area
3.996,91.4102
5.669,106.6743
8.222,10.5173
11.211,53.017
12.285,61.2904
15.153,32.2168
16.813,2240.9302
21.19,21.3783
24.579,30.584
26.326,102.2522
28.222,70.522
30.601,315.7022
37.47,567.1914
42.468,1201.5605
43.467,945.4725
47.294,818.8994
47.742,814.4028
48.099,563.3474
48.351,391.8854
48.653,793.8926
49.275,73.63
49.442,119.3321
49.803,213.3104
