RT [min],Area
4.035,64.4887
5.681,65.3196
8.323,7.8511
11.197,28.6143
12.293,46.8457
16.787,1824.9318
24.523,28.0551
26.32,100.2755
28.183,71.344
30.592,248.0418
37.476,543.4581
42.525,1055.8036
43.473,808.3117
47.24,692.9442
47.561,210.0535
47.95,374.4709
48.126,332.1545
48.322,139.5211
48.481,199.9437
48.639,554.2858
49.501,11.0793
