RT [min],Area
4.032,85.2811
5.705,131.5303
8.275,18.7193
11.308,47.0519
12.425,49.8413
15.307,44.4682
17.005,1843.328
18.592,14.5518
21.34,32.7072
24.672,30.4942
26.461,112.3588
27.944,53.3114
30.661,330.265
33.073,34.9424
37.493,525.5334
41.516,25.5265
42.506,1129.495
43.495,905.197
44.774,113.7309
47.274,668.3723
47.747,722.1906
48.135,554.6548
48.349,333.9191
48.699,697.1841
49.284,65.3306
49.455,121.6061
49.774,195.1755
