RT [min],Area
3.986,59.8576
5.647,62.7575
11.202,30.3937
12.288,50.1269
16.822,2023.303
24.567,32.1037
26.354,82.2447
28.216,69.4811
30.625,260.1197
33.33,13.5611
37.517,519.6454
42.525,1119.566
43.472,853.5069
47.24,756.717
47.554,237.9265
47.957,420.5995
48.118,393.683
48.318,196.4248
48.481,268.7177
48.633,727.3636
